Provider CCN,Hospital Name,State Code,Medicare CBSA Number,cbsa,Fiscal Year Begin Date,Fiscal Year End Date,FTE - Employees on Payroll,Total Days (V + XVIII + XIX + Unknown),Number of Beds,fte_per_1000_days,fte_per_bed,cbsa_str,Facility ID,Facility Name,State,ZIP Code,Hospital Type,Hospital Ownership,Emergency Services,Meets criteria for birthing friendly designation,Hospital overall rating,Hospital overall rating footnote,MORT Group Measure Count,Safety Group Measure Count,READM Group Measure Count,Pt Exp Group Measure Count,TE Group Measure Count,AREA,AREA_TITLE_msa,PRIM_STATE_msa,TOT_EMP_msa,JOBS_1000_msa,A_MEAN_msa,H_MEAN_msa,PRIM_STATE,TOT_EMP_state,JOBS_1000_state,A_MEAN_state,H_MEAN_state,rn_emp_best,rn_jobs_per_1000_best,rn_wage_best,rn_hourly_best
040029,CONWAY REGIONAL MEDICAL CENTER  INC,AR,30780.0,30780.0,2023-01-01,2023-12-31,1365.54,36606.0,169.0,37.303720701524334,8.080118343195267,30780.0,040029,"CONWAY REGIONAL MEDICAL CENTER, INC",AR,72034,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3.0,,7,8,11,8,12,,,,,,,,AR,28320.0,21.97,77720.0,37.36,28320.0,21.97,77720.0,37.36
050278,PROVIDENCE HOLY CROSS MED. CENTER,CA,31084.0,31084.0,2023-01-01,2023-12-31,1606.44,81355.0,285.0,19.74605125683732,5.636631578947369,31084.0,050278,PROVIDENCE HOLY CROSS MEDICAL CENTER,CA,91346,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,4.0,,7,8,11,8,12,,,,,,,,CA,326720.0,18.093,148330.0,71.31,326720.0,18.093,148330.0,71.31
050329,CORONA REGIONAL MEDICAL CENTER,CA,40140.0,40140.0,2023-01-01,2023-12-31,743.69,36979.0,160.0,20.111144162903276,4.6480625,40140.0,050329,CORONA REGIONAL MEDICAL CENTER,CA,92882,Acute Care Hospitals,Proprietary,Yes,Y,3.0,,7,8,11,8,12,,,,,,,,CA,326720.0,18.093,148330.0,71.31,326720.0,18.093,148330.0,71.31
050353,PROVIDENCE LTTL CO MARY MC TORRANCE,CA,31084.0,31084.0,2023-01-01,2023-12-31,1591.52,78029.0,338.0,20.39651924284561,4.708639053254438,31084.0,050353,PROVIDENCE LITTLE COMPANY OF MARY MED CTR TORRANCE,CA,90503,Acute Care Hospitals,Voluntary non-profit - Church,No,Y,4.0,,7,8,11,8,12,,,,,,,,CA,326720.0,18.093,148330.0,71.31,326720.0,18.093,148330.0,71.31
050468,MEMORIAL HOSPITAL OF GARDENA,CA,31084.0,31084.0,2023-01-01,2023-12-31,494.41,25615.0,103.0,19.301581104821395,4.800097087378641,31084.0,050468,MEMORIAL HOSPITAL OF GARDENA,CA,90247,Acute Care Hospitals,Proprietary,Yes,,1.0,,7,8,11,8,12,,,,,,,,CA,326720.0,18.093,148330.0,71.31,326720.0,18.093,148330.0,71.31
050496,JOHN MUIR MEDICAL CENTER - CONCORD,CA,36084.0,36084.0,2023-01-01,2023-12-31,1337.77,58403.0,244.0,22.905843877882983,5.482663934426229,36084.0,050496,JOHN MUIR MEDICAL CENTER - CONCORD CAMPUS,CA,94520,Acute Care Hospitals,Voluntary non-profit - Private,Yes,,4.0,,7,8,11,8,12,,,,,,,,CA,326720.0,18.093,148330.0,71.31,326720.0,18.093,148330.0,71.31
060001,NORTH COLORADO MEDICAL CENTER,CO,24540.0,24540.0,2023-01-01,2023-12-31,946.4,39497.0,182.0,23.96131351748234,5.2,24540.0,060001,BANNER NORTH COLORADO MEDICAL CENTER,CO,80631,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4.0,,7,8,11,8,12,,,,,,,,CO,54510.0,18.853,95470.0,45.9,54510.0,18.853,95470.0,45.9
061312,ESTES PARK MEDICAL CENTER,CO,22660.0,22660.0,2023-01-01,2023-12-31,236.33,687.0,23.0,344.00291120815143,10.275217391304349,22660.0,061312,ESTES PARK MEDICAL CENTER,CO,80517,Critical Access Hospitals,Government - Hospital District or Authority,Yes,,,16,7,8,11,8,12,,,,,,,,CO,54510.0,18.853,95470.0,45.9,54510.0,18.853,95470.0,45.9
101300,ADVENTHEALTH WAUCHULA,FL,99910.0,99910.0,2023-01-01,2023-12-31,124.24,8061.0,25.0,15.412479841210768,4.9696,99910.0,101300,ADVENTHEALTH WAUCHULA,FL,33873,Critical Access Hospitals,Voluntary non-profit - Private,Yes,,,16,7,8,11,8,12,,,,,,,,FL,218100.0,22.21,88200.0,42.4,218100.0,22.21,88200.0,42.4
111310,ATRIUM HEALTH NAVICENT PEACH,GA,47580.0,47580.0,2023-01-01,2023-12-31,145.83,6032.0,25.0,24.17606100795756,5.833200000000001,47580.0,111310,ATRIUM HEALTH NAVICENT PEACH,GA,31008,Critical Access Hospitals,Voluntary non-profit - Private,Yes,,3.0,,7,8,11,8,12,,,,,,,,GA,97410.0,20.059,91960.0,44.21,97410.0,20.059,91960.0,44.21
131309,CARIBOU MEMORIAL HOSPITAL,ID,99913.0,99913.0,2023-01-01,2023-12-31,141.65,1433.0,25.0,98.84856943475228,5.666,99913.0,131309,CARIBOU MEDICAL CENTER,ID,83276,Critical Access Hospitals,Government - Local,Yes,,,16,7,8,11,8,12,,,,,,,,ID,14540.0,17.214,89770.0,43.16,14540.0,17.214,89770.0,43.16
131317,BENEWAH COMMUNITY HOSPITAL,ID,99913.0,99913.0,2023-01-01,2023-12-31,94.48,595.0,19.0,158.78991596638656,4.972631578947369,99913.0,131317,BENEWAH COMMUNITY HOSPITAL,ID,83861,Critical Access Hospitals,Government - Local,Yes,,,16,7,8,11,8,12,,,,,,,,ID,14540.0,17.214,89770.0,43.16,14540.0,17.214,89770.0,43.16
131328,BONNER GENERAL HOSPITAL,ID,99913.0,99913.0,2023-01-01,2023-12-31,361.98,3728.0,25.0,97.09763948497854,14.4792,99913.0,131328,BONNER GENERAL HOSPITAL,ID,83864,Critical Access Hospitals,Voluntary non-profit - Private,Yes,,1.0,,7,8,11,8,12,,,,,,,,ID,14540.0,17.214,89770.0,43.16,14540.0,17.214,89770.0,43.16
140120,PEKIN MEMORIAL HOSPITAL,IL,37900.0,37900.0,2023-01-01,2023-12-31,257.97,7255.0,39.0,35.55754651964163,6.6146153846153855,37900.0,140120,PEKIN MEMORIAL HOSPITAL,IL,61554,Acute Care Hospitals,Voluntary non-profit - Private,Yes,,2.0,,7,8,11,8,12,,,,,,,,IL,139900.0,23.066,91130.0,43.81,139900.0,23.066,91130.0,43.81
140181,SOUTH SHORE HOSPITAL CORPORATION,IL,16984.0,16984.0,2023-01-01,2023-12-31,273.32,11634.0,122.0,23.49320955819151,2.240327868852459,16984.0,140181,SOUTH SHORE HOSPITAL,IL,60617,Acute Care Hospitals,Voluntary non-profit - Private,Yes,,1.0,,7,8,11,8,12,,,,,,,,IL,139900.0,23.066,91130.0,43.81,139900.0,23.066,91130.0,43.81
140182,ADVOCATE NORTH SIDE HEALTH NETWORK,IL,16984.0,16984.0,2023-01-01,2023-12-31,1786.7,48392.0,237.0,36.92139196561415,7.538818565400844,16984.0,140182,ADVOCATE ILLINOIS MASONIC MEDICAL CENTER,IL,60657,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3.0,,7,8,11,8,12,,,,,,,,IL,139900.0,23.066,91130.0,43.81,139900.0,23.066,91130.0,43.81
150167,ORTHOPAEDIC HOSPT.AT PARKVIEW,IN,23060.0,23060.0,2023-01-01,2023-12-31,191.4,1160.0,37.0,165.0,5.172972972972973,23060.0,150167,ORTHOPAEDIC HOSPITAL AT PARKVIEW NORTH,IN,46845,Acute Care Hospitals,Voluntary non-profit - Private,Yes,,,16,7,8,11,8,12,,,,,,,,IN,68950.0,21.638,85850.0,41.27,68950.0,21.638,85850.0,41.27
161381,SANFORD MEDICAL CENTER SHELDON,IA,99916.0,99916.0,2023-01-01,2023-12-31,119.12,3004.0,25.0,39.6537949400799,4.7648,99916.0,161381,SANFORD SHELDON MEDICAL CENTER,IA,51201,Critical Access Hospitals,Voluntary non-profit - Private,Yes,,,16,7,8,11,8,12,,,,,,,,IA,33480.0,21.438,77780.0,37.39,33480.0,21.438,77780.0,37.39
170190,MANHATTAN SURGICAL HOSPITAL,KS,31740.0,31740.0,2023-01-01,2023-12-31,125.58,579.0,13.0,216.89119170984452,9.66,31740.0,170190,MANHATTAN SURGICAL HOSPITAL LLC,KS,66502,Acute Care Hospitals,Physician,No,,,16,7,8,11,8,12,,,,,,,,KS,32640.0,22.805,79430.0,38.19,32640.0,22.805,79430.0,38.19
171357,HILLSBORO COMMUNITY HOSPITAL,KS,99917.0,99917.0,2023-01-01,2023-12-31,48.84,1208.0,15.0,40.43046357615894,3.256,99917.0,171357,HILLSBORO COMMUNITY HOSPITAL,KS,67063,Critical Access Hospitals,Proprietary,No,,,16,7,8,11,8,12,,,,,,,,KS,32640.0,22.805,79430.0,38.19,32640.0,22.805,79430.0,38.19
190190,CALDWELL MEMORIAL HOSPITAL,LA,99919.0,99919.0,2023-01-01,2023-12-31,63.14,973.0,26.0,64.89208633093526,2.4284615384615384,99919.0,190190,"CALDWELL MEMORIAL HOSPITAL, INC",LA,71418,Acute Care Hospitals,Proprietary,No,,,16,7,8,11,8,12,,,,,,,,LA,46790.0,24.479,84110.0,40.44,46790.0,24.479,84110.0,40.44
201303,PENOBSCOT VALLEY HOSPITAL,ME,12620.0,12620.0,2023-01-01,2023-12-31,136.77,1705.0,25.0,80.21700879765396,5.4708000000000006,12620.0,201303,PENOBSCOT VALLEY HOSPITAL,ME,4457,Critical Access Hospitals,Voluntary non-profit - Private,Yes,,,16,7,8,11,8,12,,,,,,,,ME,16280.0,25.626,87440.0,42.04,16280.0,25.626,87440.0,42.04
201305,CALAIS COMMUNITY HOSPITAL,ME,99920.0,99920.0,2023-01-01,2023-12-31,124.51,1293.0,25.0,96.2954369682908,4.9804,99920.0,201305,CALAIS COMMUNITY HOSPITAL,ME,4619,Critical Access Hospitals,Voluntary non-profit - Private,Yes,,,16,7,8,11,8,12,,,,,,,,ME,16280.0,25.626,87440.0,42.04,16280.0,25.626,87440.0,42.04
210017,GARRETT COUNTY MEMORIAL HOSPITAL,MD,99921.0,99921.0,2023-01-01,2023-12-31,397.17,5234.0,20.0,75.88269010317157,19.8585,99921.0,210017,GARRETT REGIONAL MEDICAL CENTER,MD,21550,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4.0,,7,8,11,8,12,,,,,,,,MD,48980.0,17.835,96650.0,46.46,48980.0,17.835,96650.0,46.46
240014,NORTHFIELD CITY HOSPITAL,MN,33460.0,33460.0,2023-01-01,2023-12-31,586.97,5167.0,37.0,113.59976775691892,15.864054054054057,33460.0,240014,NORTHFIELD HOSPITAL,MN,55057,Acute Care Hospitals,Government - Local,Yes,Y,,16,7,8,11,8,12,,,,,,,,MN,64740.0,22.167,99460.0,47.82,64740.0,22.167,99460.0,47.82
264033,SPRINGFIELD BEHAVIORAL HOSPITAL,MO,,,2023-01-01,2023-12-31,,,,,,,264033,PERIMETER BEHAVIORAL HOSPITAL OF SPRINGFIELD,MO,65803,Psychiatric,Proprietary,No,,,19,Not Available,Not Available,Not Available,Not Available,Not Available,,,,,,,,MO,74270.0,25.452,81950.0,39.4,74270.0,25.452,81950.0,39.4
280040,NEBRASKA METHODIST HOSPITAL,NE,36540.0,36540.0,2023-01-01,2023-12-31,3046.18,109025.0,363.0,27.940197202476494,8.39168044077135,36540.0,280040,THE NEBRASKA METHODIST HOSPITAL,NE,68114,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4.0,,7,8,11,8,12,,,,,,,,NE,24180.0,23.801,82890.0,39.85,24180.0,23.801,82890.0,39.85
280077,METHODIST FREMONT HEALTH,NE,99928.0,99928.0,2023-01-01,2023-12-31,1.0,9134.0,50.0,0.1094810597766586,0.02,99928.0,280077,METHODIST FREMONT HEALTH,NE,68025,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3.0,,7,8,11,8,12,,,,,,,,NE,24180.0,23.801,82890.0,39.85,24180.0,23.801,82890.0,39.85
281357,SIDNEY REGIONAL MEDICAL CENTER,NE,99928.0,99928.0,2023-01-01,2023-12-31,264.93,1802.0,19.0,147.01997780244176,13.943684210526316,99928.0,281357,SIDNEY REGIONAL MEDICAL CENTER,NE,69162,Critical Access Hospitals,Voluntary non-profit - Private,Yes,,,16,7,8,11,8,12,,,,,,,,NE,24180.0,23.801,82890.0,39.85,24180.0,23.801,82890.0,39.85
290019,CARSON TAHOE REGIONAL HEALTHCARE,NV,16180.0,16180.0,2023-01-01,2023-12-31,1125.0,50500.0,175.0,22.27722772277228,6.428571428571429,16180.0,290019,CARSON TAHOE REGIONAL MEDICAL CENTER,NV,89703,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3.0,,7,8,11,8,12,,,,,,,,NV,27570.0,18.024,102280.0,49.17,27570.0,18.024,102280.0,49.17
310011,CAPE REGIONAL MEDICAL CENTER,NJ,36140.0,36140.0,2023-01-01,2023-12-31,673.92,26047.0,149.0,25.873229162667485,4.522953020134228,36140.0,310011,CAPE REGIONAL MEDICAL CENTER INC,NJ,8210,Acute Care Hospitals,Voluntary non-profit - Private,Yes,,3.0,,7,8,11,8,12,,,,,,,,NJ,95150.0,22.387,106990.0,51.44,95150.0,22.387,106990.0,51.44
310048,ROBERT WOOD JOHNSON UNIV HOSP @ SOM,NJ,35154.0,35154.0,2023-01-01,2023-12-31,1536.0,70925.0,332.0,21.656679591117378,4.626506024096385,35154.0,310048,ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL - SOMERSET,NJ,8876,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3.0,,7,8,11,8,12,,,,,,,,NJ,95150.0,22.387,106990.0,51.44,95150.0,22.387,106990.0,51.44
310058,BERGEN NEW BRIDGE MEDICAL CENTER,NJ,35614.0,35614.0,2023-01-01,2023-12-31,1723.36,17327.0,107.0,99.46095688809372,16.106168224299065,35614.0,310058,BERGEN NEW BRIDGE MEDICAL CENTER,NJ,7652,Acute Care Hospitals,Voluntary non-profit - Private,Yes,,,"16, 23",7,8,11,8,12,,,,,,,,NJ,95150.0,22.387,106990.0,51.44,95150.0,22.387,106990.0,51.44
314012,HMH CARRIER CLINIC,NJ,35154.0,35154.0,2023-01-01,2023-12-31,755.54,56744.0,232.0,13.314887917665304,3.2566379310344824,35154.0,314012,HACKENSACK MERIDIAN HEALTH CARRIER CLINIC,NJ,8502,Psychiatric,Voluntary non-profit - Private,No,,,19,Not Available,Not Available,Not Available,Not Available,Not Available,,,,,,,,NJ,95150.0,22.387,106990.0,51.44,95150.0,22.387,106990.0,51.44
330119,LENOX HILL HOSPITAL,NY,35614.0,35614.0,2023-01-01,2023-12-31,5705.6,114323.0,415.0,49.90771760713068,13.74843373493976,35614.0,330119,LENOX HILL HOSPITAL,NY,10075,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4.0,,7,8,11,8,12,,,,,,,,NY,204120.0,21.392,110490.0,53.12,204120.0,21.392,110490.0,53.12
330184,MONTEFIORE NEW ROCHELLE HOSPITAL,NY,35614.0,35614.0,2023-01-01,2023-12-31,938.4,29740.0,141.0,31.55346334902488,6.6553191489361705,35614.0,330184,MONTEFIORE NEW ROCHELLE HOSPITAL,NY,10802,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,1.0,,7,8,11,8,12,,,,,,,,NY,204120.0,21.392,110490.0,53.12,204120.0,21.392,110490.0,53.12
330185,MATHER HOSPITAL,NY,35004.0,35004.0,2023-01-01,2023-12-31,1990.6,42957.0,195.0,46.33936261843238,10.208205128205128,35004.0,330185,JOHN T MATHER MEMORIAL HOSPITAL  OF PORT JEFFERSON,NY,11777,Acute Care Hospitals,Voluntary non-profit - Private,Yes,,5.0,,7,8,11,8,12,,,,,,,,NY,204120.0,21.392,110490.0,53.12,204120.0,21.392,110490.0,53.12
330191,GLENS FALLS HOSPITAL,NY,24020.0,24020.0,2023-01-01,2023-12-31,1733.62,55855.0,391.0,31.03786590278399,4.433810741687979,24020.0,330191,GLENS FALLS HOSPITAL,NY,12801,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,2.0,,7,8,11,8,12,,,,,,,,NY,204120.0,21.392,110490.0,53.12,204120.0,21.392,110490.0,53.12
330197,CANTON-POTSDAM HOSPITAL,NY,99933.0,99933.0,2023-01-01,2023-12-31,1143.0,24562.0,94.0,46.53529842846674,12.159574468085106,99933.0,330197,CANTON-POTSDAM HOSPITAL,NY,13676,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,2.0,,7,8,11,8,12,,,,,,,,NY,204120.0,21.392,110490.0,53.12,204120.0,21.392,110490.0,53.12
330276,NATHAN LITTAUER HOSPITAL & NURSING H,NY,99933.0,99933.0,2023-01-01,2023-12-31,710.0,8796.0,57.0,80.71850841291496,12.456140350877194,99933.0,330276,NATHAN LITTAUER HOSPITAL,NY,12078,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,2.0,,7,8,11,8,12,,,,,,,,NY,204120.0,21.392,110490.0,53.12,204120.0,21.392,110490.0,53.12
330386,GARNET HEALTH MEDICAL CENTER - CATSK,NY,99933.0,99933.0,2023-01-01,2023-12-31,435.16,12301.0,76.0,35.37598569222015,5.725789473684211,99933.0,330386,GARNET HEALTH  MEDICAL CENTER CATSKILLS,NY,12742,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,1.0,,7,8,11,8,12,,,,,,,,NY,204120.0,21.392,110490.0,53.12,204120.0,21.392,110490.0,53.12
330394,UHS HOSPITALS,NY,13780.0,13780.0,2023-01-01,2023-12-31,4033.59,87427.0,329.0,46.13666258707264,12.260151975683891,13780.0,330394,"UNITED HEALTH SERVICES HOSPITALS, INC",NY,13903,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,2.0,,7,8,11,8,12,,,,,,,,NY,204120.0,21.392,110490.0,53.12,204120.0,21.392,110490.0,53.12
330395,EPISCOPAL HEALTH SERVICES,NY,35614.0,35614.0,2023-01-01,2023-12-31,1544.59,50914.0,140.0,30.337235338020974,11.032785714285714,35614.0,330395,ST JOHN'S EPISCOPAL HOSPITAL AT SOUTH SHORE,NY,11691,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,1.0,,7,8,11,8,12,,,,,,,,NY,204120.0,21.392,110490.0,53.12,204120.0,21.392,110490.0,53.12
331303,GARNET HEALTH MEDICAL CENTER - CATSK,NY,99933.0,99933.0,2023-01-01,2023-12-31,33.07,1015.0,15.0,32.58128078817734,2.2046666666666668,99933.0,331303,GARNET HEALTH MEDICAL CENTER CATSKILLS,NY,12723,Critical Access Hospitals,Voluntary non-profit - Private,Yes,,,16,7,8,11,8,12,,,,,,,,NY,204120.0,21.392,110490.0,53.12,204120.0,21.392,110490.0,53.12
331312,DELAWARE VALLEY HOSPITAL,NY,99933.0,99933.0,2023-01-01,2023-12-31,150.1,3682.0,25.0,40.76588810429114,6.004,99933.0,331312,"DELAWARE VALLEY HOSPITAL, INC",NY,13856,Critical Access Hospitals,Voluntary non-profit - Private,Yes,,,16,7,8,11,8,12,,,,,,,,NY,204120.0,21.392,110490.0,53.12,204120.0,21.392,110490.0,53.12
331317,LEWIS COUNTY GENERAL HOSPITAL,NY,99933.0,99933.0,2023-01-01,2023-12-31,366.56,3985.0,25.0,91.98494353826852,14.6624,99933.0,331317,LEWIS COUNTY GENERAL HOSPITAL,NY,13367,Critical Access Hospitals,Government - Local,Yes,,,16,7,8,11,8,12,,,,,,,,NY,204120.0,21.392,110490.0,53.12,204120.0,21.392,110490.0,53.12
394050,ROXBURY PSYCHIATRIC HOSPITAL,PA,16540.0,16540.0,2023-01-01,2023-12-31,105.02,32280.0,112.0,3.253407682775713,0.9376785714285714,16540.0,394050,ROXBURY TREATMENT CENTER,PA,17257,Psychiatric,Proprietary,No,,,19,Not Available,Not Available,Not Available,Not Available,Not Available,,,,,,,,PA,146840.0,24.415,90830.0,43.67,146840.0,24.415,90830.0,43.67
400032,BAYAMON MEDICAL CENTER,PR,41980.0,41980.0,2023-01-01,2023-12-31,603.83,61243.0,207.0,9.859575788253352,2.9170531400966184,41980.0,400032,BAYAMON MEDICAL CENTER,PR,960,Acute Care Hospitals,Proprietary,Yes,Y,,16,7,8,11,8,12,,,,,,,,PR,22430.0,23.87,41470.0,19.94,22430.0,23.87,41470.0,19.94
400098,HOSPITAL SAN FRANCISCO,PR,41980.0,41980.0,2023-01-01,2023-12-31,410.86,26936.0,139.0,15.253192753192751,2.9558273381294966,41980.0,400098,HOSPITAL SAN FRANCISCO,PR,923,Acute Care Hospitals,Proprietary,Yes,,,16,7,8,11,8,12,,,,,,,,PR,22430.0,23.87,41470.0,19.94,22430.0,23.87,41470.0,19.94
451352,HARDEMAN COUNTY HOSPITAL,TX,99945.0,99945.0,2023-01-01,2023-12-31,75.64,765.0,24.0,98.87581699346406,3.151666666666667,99945.0,451352,HARDEMAN COUNTY MEMORIAL HOSPITAL,TX,79252,Critical Access Hospitals,Government - Hospital District or Authority,Yes,,,16,7,8,11,8,12,,,,,,,,TX,261050.0,18.853,91690.0,44.08,261050.0,18.853,91690.0,44.08
454135,HOUSTON BEHAVIORAL HEALTHCARE,TX,26420.0,26420.0,2023-01-01,2023-12-31,321.34,49949.0,163.0,6.433362029269855,1.971411042944785,26420.0,454135,HOUSTON BEHAVIORAL HEALTHCARE HOSPITAL LLC,TX,77080,Psychiatric,Proprietary,No,,,19,Not Available,Not Available,Not Available,Not Available,Not Available,,,,,,,,TX,261050.0,18.853,91690.0,44.08,261050.0,18.853,91690.0,44.08
500079,GOOD SAMARITAN HOSPITAL,WA,45104.0,45104.0,2023-01-01,2023-12-31,1906.91,110867.0,318.0,17.19997835244031,5.996572327044025,45104.0,500079,MULTICARE GOOD SAMARITAN HOSPITAL,WA,98372,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,2.0,,7,8,11,8,12,,,,,,,,WA,64690.0,18.275,115740.0,55.64,64690.0,18.275,115740.0,55.64
500129,TACOMA GENERAL ALLENMORE HOSPITAL,WA,45104.0,45104.0,2023-01-01,2023-12-31,2897.05,134001.0,360.0,21.619614778994187,8.047361111111112,45104.0,500129,TACOMA GENERAL ALLENMORE HOSPITAL,WA,98405,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,2.0,,7,8,11,8,12,,,,,,,,WA,64690.0,18.275,115740.0,55.64,64690.0,18.275,115740.0,55.64
500139,CAPITAL MEDICAL CENTER,WA,36500.0,36500.0,2023-01-01,2023-12-31,469.65,15375.0,107.0,30.546341463414635,4.389252336448598,36500.0,500139,CAPITAL MEDICAL CENTER,WA,98502,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4.0,,7,8,11,8,12,,,,,,,,WA,64690.0,18.275,115740.0,55.64,64690.0,18.275,115740.0,55.64
500154,MULTICARE COVINGTON MEDICAL CENTER,WA,42644.0,42644.0,2023-01-01,2023-12-31,285.51,8644.0,57.0,33.029847292919946,5.008947368421053,42644.0,500154,MULTICARE COVINGTON MEDICAL CENTER,WA,98042,Acute Care Hospitals,Voluntary non-profit - Private,Yes,,4.0,,7,8,11,8,12,,,,,,,,WA,64690.0,18.275,115740.0,55.64,64690.0,18.275,115740.0,55.64
501313,CASCADE MEDICAL CENTER,WA,48300.0,48300.0,2023-01-01,2023-12-31,125.8,1157.0,9.0,108.7294727744166,13.977777777777778,48300.0,501313,CASCADE MEDICAL CENTER,WA,98826,Critical Access Hospitals,Government - Hospital District or Authority,Yes,,,16,7,8,11,8,12,,,,,,,,WA,64690.0,18.275,115740.0,55.64,64690.0,18.275,115740.0,55.64
501315,SKYLINE HOSPITAL,WA,99950.0,99950.0,2023-01-01,2023-12-31,111.11,1963.0,14.0,56.60213958227203,7.936428571428571,99950.0,501315,SKYLINE HOSPITAL,WA,98672,Critical Access Hospitals,Government - Hospital District or Authority,Yes,,,16,7,8,11,8,12,,,,,,,,WA,64690.0,18.275,115740.0,55.64,64690.0,18.275,115740.0,55.64
501320,QUINCY VALLEY MEDICAL CENTER,WA,99950.0,99950.0,2023-01-01,2023-12-31,47.06,235.0,10.0,200.2553191489362,4.706,99950.0,501320,QUINCY VALLEY MEDICAL CENTER,WA,98848,Critical Access Hospitals,Government - Hospital District or Authority,Yes,,,16,7,8,11,8,12,,,,,,,,WA,64690.0,18.275,115740.0,55.64,64690.0,18.275,115740.0,55.64
501338,SNOQUALMIE VALLEY HOSPITAL,WA,42644.0,42644.0,2023-01-01,2023-12-31,166.25,7451.0,25.0,22.312441283049257,6.65,42644.0,501338,SNOQUALMIE VALLEY HOSPITAL,WA,98065,Critical Access Hospitals,Government - Hospital District or Authority,Yes,,,16,7,8,11,8,12,,,,,,,,WA,64690.0,18.275,115740.0,55.64,64690.0,18.275,115740.0,55.64
520034,AURORA MED CTR OF MANITOWOC COUNTY,WI,99952.0,99952.0,2023-01-01,2023-12-31,262.67,6691.0,63.0,39.257211179195934,4.16936507936508,99952.0,520034,AURORA MEDICAL CTR MANITOWOC COUNTY,WI,54241,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,,16,7,8,11,8,12,,,,,,,,WI,64960.0,22.219,90450.0,43.48,64960.0,22.219,90450.0,43.48
521345,WESTFIELDS HOSPITAL,WI,33460.0,33460.0,2023-01-01,2023-12-31,320.83,3702.0,25.0,86.66396542409507,12.8332,33460.0,521345,WESTFIELDS HOSPITAL AND CLINIC,WI,54017,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,,16,7,8,11,8,12,,,,,,,,WI,64960.0,22.219,90450.0,43.48,64960.0,22.219,90450.0,43.48
521346,THEDACARE MEDICAL CENTER - SHAWANO,WI,99952.0,99952.0,2023-01-01,2023-12-31,336.36,4197.0,23.0,80.14295925661187,14.624347826086955,99952.0,521346,THEDACARE MEDICAL CENTER - SHAWANO,WI,54166,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,,16,7,8,11,8,12,,,,,,,,WI,64960.0,22.219,90450.0,43.48,64960.0,22.219,90450.0,43.48
521355,THEDACARE-BERLIN,WI,99952.0,99952.0,2023-01-01,2023-12-31,253.37,2878.0,25.0,88.03683113273105,10.1348,99952.0,521355,THEDACARE MEDICAL CENTER - BERLIN INC,WI,54923,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,,16,7,8,11,8,12,,,,,,,,WI,64960.0,22.219,90450.0,43.48,64960.0,22.219,90450.0,43.48
030103,MAYO CLINIC HOSPITAL,AZ,38060.0,38060.0,2023-01-01,2023-12-31,7876.48,102093.0,353.0,77.15004946470374,22.31297450424929,38060.0,030103,MAYO CLINIC HOSPITAL,AZ,85054,Acute Care Hospitals,Voluntary non-profit - Private,Yes,,5.0,,7,8,11,8,12,,,,,,,,AZ,64430.0,20.155,95230.0,45.79,64430.0,20.155,95230.0,45.79
030105,BANNER HEART HOSPITAL,AZ,38060.0,38060.0,2023-01-01,2023-12-31,348.48,20752.0,108.0,16.79259830377795,3.226666666666667,38060.0,030105,BANNER HEART HOSPITAL,AZ,85206,Acute Care Hospitals,Voluntary non-profit - Private,No,,3.0,,7,8,11,8,12,,,,,,,,AZ,64430.0,20.155,95230.0,45.79,64430.0,20.155,95230.0,45.79
040055,BAPTIST HEALTH MEDICAL CENTER - FS,AR,22900.0,22900.0,2023-01-01,2023-12-31,1332.39,56220.0,314.0,23.699573105656352,4.24328025477707,22900.0,040055,BAPTIST HEALTH - FORT SMITH,AR,72901,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,2.0,,7,8,11,8,12,,,,,,,,AR,28320.0,21.97,77720.0,37.36,28320.0,21.97,77720.0,37.36
