Provider CCN,Hospital Name,State Code,Medicare CBSA Number,cbsa,Fiscal Year Begin Date,Fiscal Year End Date,FTE - Employees on Payroll,Total Days (V + XVIII + XIX + Unknown),Number of Beds,fte_per_1000_days,fte_per_bed
050278,PROVIDENCE HOLY CROSS MED. CENTER,CA,31084.0,31084,2023-01-01,2023-12-31,1606.44,81355.0,285.0,19.74605125683732,5.636631578947369
050329,CORONA REGIONAL MEDICAL CENTER,CA,40140.0,40140,2023-01-01,2023-12-31,743.69,36979.0,160.0,20.111144162903273,4.6480625
050353,PROVIDENCE LTTL CO MARY MC TORRANCE,CA,31084.0,31084,2023-01-01,2023-12-31,1591.52,78029.0,338.0,20.39651924284561,4.708639053254438
050468,MEMORIAL HOSPITAL OF GARDENA,CA,31084.0,31084,2023-01-01,2023-12-31,494.41,25615.0,103.0,19.301581104821395,4.800097087378641
050496,JOHN MUIR MEDICAL CENTER - CONCORD,CA,36084.0,36084,2023-01-01,2023-12-31,1337.77,58403.0,244.0,22.905843877882983,5.482663934426229
052047,NORTHERN CALIFORNIA REHAB HOSPITAL,CA,39820.0,39820,2023-01-01,2023-12-31,178.0,16972.0,56.0,10.48786236153665,3.1785714285714284
060001,NORTH COLORADO MEDICAL CENTER,CO,24540.0,24540,2023-01-01,2023-12-31,946.4,39497.0,182.0,23.96131351748234,5.2
061312,ESTES PARK MEDICAL CENTER,CO,22660.0,22660,2023-01-01,2023-12-31,236.33,687.0,23.0,344.00291120815143,10.275217391304349
101300,ADVENTHEALTH WAUCHULA,FL,99910.0,99910,2023-01-01,2023-12-31,124.24,8061.0,25.0,15.412479841210768,4.9696
111310,ATRIUM HEALTH NAVICENT PEACH,GA,47580.0,47580,2023-01-01,2023-12-31,145.83,6032.0,25.0,24.17606100795756,5.833200000000001
131309,CARIBOU MEMORIAL HOSPITAL,ID,99913.0,99913,2023-01-01,2023-12-31,141.65,1433.0,25.0,98.84856943475228,5.666
131317,BENEWAH COMMUNITY HOSPITAL,ID,99913.0,99913,2023-01-01,2023-12-31,94.48,595.0,19.0,158.78991596638656,4.972631578947369
131328,BONNER GENERAL HOSPITAL,ID,99913.0,99913,2023-01-01,2023-12-31,361.98,3728.0,25.0,97.09763948497854,14.4792
140120,PEKIN MEMORIAL HOSPITAL,IL,37900.0,37900,2023-01-01,2023-12-31,257.97,7255.0,39.0,35.55754651964163,6.6146153846153855
140181,SOUTH SHORE HOSPITAL CORPORATION,IL,16984.0,16984,2023-01-01,2023-12-31,273.32,11634.0,122.0,23.49320955819151,2.240327868852459
140182,ADVOCATE NORTH SIDE HEALTH NETWORK,IL,16984.0,16984,2023-01-01,2023-12-31,1786.7,48392.0,237.0,36.92139196561415,7.538818565400844
150167,ORTHOPAEDIC HOSPT.AT PARKVIEW,IN,23060.0,23060,2023-01-01,2023-12-31,191.4,1160.0,37.0,165.0,5.172972972972973
161381,SANFORD MEDICAL CENTER SHELDON,IA,99916.0,99916,2023-01-01,2023-12-31,119.12,3004.0,25.0,39.6537949400799,4.7648
170190,MANHATTAN SURGICAL HOSPITAL,KS,31740.0,31740,2023-01-01,2023-12-31,125.58,579.0,13.0,216.89119170984455,9.66
171357,HILLSBORO COMMUNITY HOSPITAL,KS,99917.0,99917,2023-01-01,2023-12-31,48.84,1208.0,15.0,40.43046357615894,3.2560000000000002
190190,CALDWELL MEMORIAL HOSPITAL,LA,99919.0,99919,2023-01-01,2023-12-31,63.14,973.0,26.0,64.89208633093526,2.4284615384615384
201303,PENOBSCOT VALLEY HOSPITAL,ME,12620.0,12620,2023-01-01,2023-12-31,136.77,1705.0,25.0,80.21700879765396,5.4708000000000006
201305,CALAIS COMMUNITY HOSPITAL,ME,99920.0,99920,2023-01-01,2023-12-31,124.51,1293.0,25.0,96.2954369682908,4.9804
210017,GARRETT COUNTY MEMORIAL HOSPITAL,MD,99921.0,99921,2023-01-01,2023-12-31,397.17,5234.0,20.0,75.88269010317157,19.8585
222043,VIBRA HOSP OF SOUTHEASTERN MASS,MA,39300.0,39300,2023-01-01,2023-12-31,139.31,17303.0,90.0,8.051204993353755,1.5478888888888889
240014,NORTHFIELD CITY HOSPITAL,MN,33460.0,33460,2023-01-01,2023-12-31,586.97,5167.0,37.0,113.59976775691891,15.864054054054055
263029,MERCY REHABILITATION HOSPITAL ST. LO,MO,41180.0,41180,2023-01-01,2023-12-31,16.1,22748.0,90.0,0.7077545278705821,0.1788888888888889
263032,MERCY REHABILITATION HOSPITAL SPRING,MO,44180.0,44180,2023-01-01,2023-12-31,128.78,15624.0,60.0,8.242447516641064,2.146333333333333
263034,MERCY REHABILITATION HOSPITAL ST. LO,MO,41180.0,41180,2022-12-22,2023-12-31,85.43,9820.0,50.0,8.69959266802444,1.7086000000000001
264033,SPRINGFIELD BEHAVIORAL HOSPITAL,MO,,,2023-01-01,2023-12-31,,,,,
280040,NEBRASKA METHODIST HOSPITAL,NE,36540.0,36540,2023-01-01,2023-12-31,3046.18,109025.0,363.0,27.940197202476494,8.39168044077135
280077,METHODIST FREMONT HEALTH,NE,99928.0,99928,2023-01-01,2023-12-31,1.0,9134.0,50.0,0.10948105977665865,0.02
281357,SIDNEY REGIONAL MEDICAL CENTER,NE,99928.0,99928,2023-01-01,2023-12-31,264.93,1802.0,19.0,147.01997780244176,13.943684210526316
290019,CARSON TAHOE REGIONAL HEALTHCARE,NV,16180.0,16180,2023-01-01,2023-12-31,1125.0,50500.0,175.0,22.277227722772277,6.428571428571429
310011,CAPE REGIONAL MEDICAL CENTER,NJ,36140.0,36140,2023-01-01,2023-12-31,673.92,26047.0,149.0,25.873229162667485,4.522953020134228
310048,ROBERT WOOD JOHNSON UNIV HOSP @ SOM,NJ,35154.0,35154,2023-01-01,2023-12-31,1536.0,70925.0,332.0,21.656679591117378,4.626506024096385
310058,BERGEN NEW BRIDGE MEDICAL CENTER,NJ,35614.0,35614,2023-01-01,2023-12-31,1723.36,17327.0,107.0,99.46095688809373,16.106168224299065
313032,MARLTON REHAB HOSPITAL,NJ,15804.0,15804,2023-01-01,2023-12-31,209.59,21383.0,61.0,9.801711640087921,3.4359016393442623
314012,HMH CARRIER CLINIC,NJ,35154.0,35154,2023-01-01,2023-12-31,755.54,56744.0,232.0,13.314887917665303,3.2566379310344824
323032,REHABILITATION HOSPITAL OF SOUTHERN,NM,29740.0,29740,2023-01-01,2023-12-31,150.83,12803.0,40.0,11.780832617355308,3.7707500000000005
330008,WYOMING COUNTY COMMUNITY HOSPITAL,NY,99933.0,99933,2023-01-01,2023-12-31,376.32,4853.0,47.0,77.54378734803215,8.006808510638297
330119,LENOX HILL HOSPITAL,NY,35614.0,35614,2023-01-01,2023-12-31,5705.6,114323.0,415.0,49.90771760713068,13.74843373493976
330184,MONTEFIORE NEW ROCHELLE HOSPITAL,NY,35614.0,35614,2023-01-01,2023-12-31,938.4,29740.0,141.0,31.55346334902488,6.6553191489361705
330185,MATHER HOSPITAL,NY,35004.0,35004,2023-01-01,2023-12-31,1990.6,42957.0,195.0,46.33936261843238,10.208205128205128
330191,GLENS FALLS HOSPITAL,NY,24020.0,24020,2023-01-01,2023-12-31,1733.62,55855.0,391.0,31.03786590278399,4.433810741687979
330197,CANTON-POTSDAM HOSPITAL,NY,99933.0,99933,2023-01-01,2023-12-31,1143.0,24562.0,94.0,46.53529842846674,12.159574468085106
330276,NATHAN LITTAUER HOSPITAL & NURSING H,NY,99933.0,99933,2023-01-01,2023-12-31,710.0,8796.0,57.0,80.71850841291496,12.456140350877194
330386,GARNET HEALTH MEDICAL CENTER - CATSK,NY,99933.0,99933,2023-01-01,2023-12-31,435.16,12301.0,76.0,35.37598569222015,5.725789473684211
330394,UHS HOSPITALS,NY,13780.0,13780,2023-01-01,2023-12-31,4033.59,87427.0,329.0,46.13666258707264,12.260151975683891
330395,EPISCOPAL HEALTH SERVICES,NY,35614.0,35614,2023-01-01,2023-12-31,1544.59,50914.0,140.0,30.337235338020978,11.032785714285714
331303,GARNET HEALTH MEDICAL CENTER - CATSK,NY,99933.0,99933,2023-01-01,2023-12-31,33.07,1015.0,15.0,32.58128078817734,2.2046666666666668
331312,DELAWARE VALLEY HOSPITAL,NY,99933.0,99933,2023-01-01,2023-12-31,150.1,3682.0,25.0,40.76588810429114,6.004
331317,LEWIS COUNTY GENERAL HOSPITAL,NY,99933.0,99933,2023-01-01,2023-12-31,366.56,3985.0,25.0,91.98494353826851,14.6624
394050,ROXBURY PSYCHIATRIC HOSPITAL,PA,16540.0,16540,2023-01-01,2023-12-31,105.02,32280.0,112.0,3.2534076827757126,0.9376785714285714
400032,BAYAMON MEDICAL CENTER,PR,41980.0,41980,2023-01-01,2023-12-31,603.83,61243.0,207.0,9.859575788253352,2.9170531400966184
400098,HOSPITAL SAN FRANCISCO,PR,41980.0,41980,2023-01-01,2023-12-31,410.86,26936.0,139.0,15.253192753192753,2.9558273381294966
451352,HARDEMAN COUNTY HOSPITAL,TX,99945.0,99945,2023-01-01,2023-12-31,75.64,765.0,24.0,98.87581699346406,3.151666666666667
454135,HOUSTON BEHAVIORAL HEALTHCARE,TX,26420.0,26420,2023-01-01,2023-12-31,321.34,49949.0,163.0,6.433362029269855,1.971411042944785
500079,GOOD SAMARITAN HOSPITAL,WA,45104.0,45104,2023-01-01,2023-12-31,1906.91,110867.0,318.0,17.19997835244031,5.996572327044025
500129,TACOMA GENERAL ALLENMORE HOSPITAL,WA,45104.0,45104,2023-01-01,2023-12-31,2897.05,134001.0,360.0,21.619614778994187,8.047361111111112
500139,CAPITAL MEDICAL CENTER,WA,36500.0,36500,2023-01-01,2023-12-31,469.65,15375.0,107.0,30.546341463414635,4.389252336448598
500154,MULTICARE COVINGTON MEDICAL CENTER,WA,42644.0,42644,2023-01-01,2023-12-31,285.51,8644.0,57.0,33.029847292919946,5.008947368421053
501313,CASCADE MEDICAL CENTER,WA,48300.0,48300,2023-01-01,2023-12-31,125.8,1157.0,9.0,108.72947277441659,13.977777777777778
501315,SKYLINE HOSPITAL,WA,99950.0,99950,2023-01-01,2023-12-31,111.11,1963.0,14.0,56.60213958227203,7.936428571428571
501320,QUINCY VALLEY MEDICAL CENTER,WA,99950.0,99950,2023-01-01,2023-12-31,47.06,235.0,10.0,200.2553191489362,4.706
501338,SNOQUALMIE VALLEY HOSPITAL,WA,42644.0,42644,2023-01-01,2023-12-31,166.25,7451.0,25.0,22.312441283049257,6.65
503026,CHI FRANCISCAN REHABILITATION HOSPIT,WA,45104.0,45104,2023-01-01,2023-12-31,112.7,14174.0,60.0,7.951178213630592,1.8783333333333334
520034,AURORA MED CTR OF MANITOWOC COUNTY,WI,99952.0,99952,2023-01-01,2023-12-31,262.67,6691.0,63.0,39.257211179195934,4.16936507936508
521345,WESTFIELDS HOSPITAL,WI,33460.0,33460,2023-01-01,2023-12-31,320.83,3702.0,25.0,86.66396542409507,12.8332
521346,THEDACARE MEDICAL CENTER - SHAWANO,WI,99952.0,99952,2023-01-01,2023-12-31,336.36,4197.0,23.0,80.14295925661187,14.624347826086957
521355,THEDACARE-BERLIN,WI,99952.0,99952,2023-01-01,2023-12-31,253.37,2878.0,25.0,88.03683113273105,10.1348
673045,MESQUITE REHABILITATION INSTITUTE,TX,19124.0,19124,2023-01-01,2023-12-31,76.39,9692.0,30.0,7.881758151052415,2.5463333333333336
673049,NEW BRAUNFELS REGIONAL REHABILITATIO,TX,41700.0,41700,2023-01-01,2023-12-31,140.44,12624.0,40.0,11.124841571609632,3.511
030103,MAYO CLINIC HOSPITAL,AZ,38060.0,38060,2023-01-01,2023-12-31,7876.48,102093.0,353.0,77.15004946470374,22.31297450424929
030105,BANNER HEART HOSPITAL,AZ,38060.0,38060,2023-01-01,2023-12-31,348.48,20752.0,108.0,16.79259830377795,3.226666666666667
033039,COBALT REHAB HOSPITAL SURPRISE,AZ,38060.0,38060,2023-01-01,2023-12-31,98.13,10161.0,40.0,9.657514024210215,2.4532499999999997
033040,DIGNITY HEALTH EAST VALLEY REHABILIT,AZ,38060.0,38060,2023-01-01,2023-12-31,151.1,16745.0,50.0,9.023589131083906,3.022
040055,BAPTIST HEALTH MEDICAL CENTER - FS,AR,22900.0,22900,2023-01-01,2023-12-31,1332.39,56220.0,314.0,23.699573105656352,4.24328025477707
040164,UNITY HEALTH - JACKSONVILLE,AR,30780.0,30780,2023-06-09,2023-09-30,50.16,991.0,29.0,50.61553985872855,1.729655172413793
050013,ADVENTIST HEALTH ST. HELENA,CA,34900.0,34900,2023-01-01,2023-12-31,640.57,18948.0,141.0,33.80673421997045,4.543049645390071
050089,COMMUNITY HOSPITAL OF SAN BERNARDINO,CA,40140.0,40140,2023-01-01,2023-12-31,897.05,26134.0,185.0,34.325017218948496,4.848918918918919
050149,CALIFORNIA HOSPITAL MEDICAL CENTER,CA,31084.0,31084,2023-01-01,2023-12-31,1571.03,80563.0,318.0,19.50063925126919,4.940345911949685
054151,AURORA SANTA ROSA BEHAVIORAL HEALTH,CA,42220.0,42220,2023-01-01,2023-12-31,237.31,33262.0,144.0,7.134567975467501,1.6479861111111112
063303,CHCO - COLORADO SPRINGS,CO,17820.0,17820,2023-01-01,2023-12-31,1029.38,27557.0,117.0,37.35457415538702,8.79811965811966
102003,SSH -ORLANDO,FL,36740.0,36740,2023-01-01,2023-12-31,336.76,31727.0,99.0,10.61430327481325,3.4016161616161615
103050,ENCOMPASS HEALTH REHABILITATION HOSP,FL,29460.0,29460,2023-01-01,2023-12-31,117.46,11230.0,50.0,10.45948352626892,2.3491999999999997
114004,SUMMITRIDGE HOSPITAL,GA,12060.0,12060,2023-01-01,2023-12-31,93.9,36438.0,96.0,2.5769800757451016,0.978125
140202,CONDELL MEDICAL CENTER,IL,29404.0,29404,2023-01-01,2023-12-31,1296.81,67564.0,257.0,19.19380143271565,5.045953307392996
140208,ADVOCATE CHRIST HOSPITAL,IL,16984.0,16984,2023-01-01,2023-12-31,4481.0,233453.0,725.0,19.194441707752738,6.180689655172414
140209,METHODIST MEDICAL CTR OF ILLINOIS,IL,37900.0,37900,2023-01-01,2023-12-31,2176.97,52572.0,203.0,41.409305333637676,10.723990147783251
190308,ST. BERNARD PARISH HOSPITAL,LA,35380.0,35380,2023-01-01,2023-12-31,246.81,4324.0,40.0,57.0790934320074,6.17025
193080,SPECIALTY REHABILITATION HOSPITAL,LA,99919.0,99919,2023-01-01,2023-12-31,42.83,3383.0,12.0,12.660360626662724,3.5691666666666664
194102,BEACON BEHAVIORAL HOSPITAL- LUTCHER,LA,35380.0,35380,2023-01-01,2023-12-31,171.0,6468.0,19.0,26.437847866419293,9.0
194114,RIVER PLACE BEHAVIORAL HEALTH,LA,35380.0,35380,2023-01-01,2023-12-31,151.09,26359.0,104.0,5.732008042793733,1.4527884615384616
221990,CHESTNUT HILL BENEVOLENT ASSOCIATION,MA,14454.0,14454,2023-01-01,2023-12-31,12.83,1429.0,20.0,8.978306508047584,0.6415
230035,COREWELL HEALTH GREENVILLE HOSPITAL,MI,24340.0,24340,2023-01-01,2023-12-31,381.41,8615.0,44.0,44.272780034822986,8.668409090909092
230275,HEALTHSOURCE SAGINAW  INC.,MI,40980.0,40980,2023-01-01,2023-12-31,190.9,820.0,7.0,232.8048780487805,27.271428571428572
231313,HARBOR BEACH COMMUNITY HOSPITAL,MI,99923.0,99923,2023-01-01,2023-12-31,93.67,170.0,15.0,551.0,6.244666666666666
232023,SSH - MACOMB COUNTY  INC.,MI,47664.0,47664,2023-01-01,2023-12-31,304.18,27481.0,92.0,11.068738401077109,3.306304347826087
240080,UNIVERSITY OF MINNESOTA MEDICAL CTR,MN,33460.0,33460,2023-01-01,2023-12-31,5810.2,191209.0,647.0,30.386644980100307,8.980216383307573
240106,REGIONS HOSPITAL,MN,33460.0,33460,2023-01-01,2023-12-31,4260.64,142006.0,429.0,30.0032392997479,9.931561771561773
241356,MILLE LACS HOSPITAL,MN,33460.0,33460,2022-10-01,2023-09-30,250.83,1917.0,18.0,130.8450704225352,13.935
250048,ST. DOMINIC-JACKSON MEMORIAL HOSP,MS,27140.0,27140,2023-01-01,2023-12-31,2358.07,119824.0,526.0,19.679446521564966,4.483022813688213
293034,PAM REHAB HOSP OF CENTENNIAL HILLS,NV,29820.0,29820,2023-01-01,2023-12-31,158.37,15018.0,44.0,10.545345585297643,3.599318181818182
310017,CHILTON HOSPITAL,NJ,35084.0,35084,2023-01-01,2023-12-31,1023.84,39500.0,180.0,25.92,5.688000000000001
310019,ST. JOSEPHS UNIVERSITY MEDICAL CENT,NJ,35614.0,35614,2023-01-01,2023-12-31,4616.16,158972.0,681.0,29.03756636388798,6.778502202643171
310027,TRINITAS HOSPITAL,NJ,35084.0,35084,2023-01-01,2023-12-31,1737.85,43012.0,182.0,40.403840788617124,9.548626373626373
310038,ROBERT WOOD JOHNSON UNIVERSITY HOSPI,NJ,35154.0,35154,2023-01-01,2023-12-31,3943.46,201119.0,630.0,19.60759550315982,6.259460317460317
330045,HUNTINGTON HOSPITAL,NY,35004.0,35004,2023-01-01,2023-12-31,2759.57,81427.0,269.0,33.89011016002064,10.258624535315986
330046,MOUNT SINAI ST. LUKES ROOSEVELT HOSP,NY,35614.0,35614,2023-01-01,2023-12-31,6351.25,214967.0,633.0,29.545232524061834,10.033570300157978
330058,GENEVA GENERAL HOSPITAL,NY,40380.0,40380,2023-01-01,2023-12-31,614.29,12597.0,117.0,48.76478526633325,5.25034188034188
330059,MONTEFIORE MEDICAL CENTER,NY,35614.0,35614,2023-01-01,2023-12-31,17832.5,460280.0,1444.0,38.742721821499956,12.34937673130194
330065,NIAGARA FALLS MEMORIAL MEDICAL CENTE,NY,15380.0,15380,2023-01-01,2023-12-31,778.68,24607.0,133.0,31.644653960255212,5.854736842105263
331990,HIGH RIDGE HOUSE,NY,35614.0,35614,2023-01-01,2023-12-31,0.09,14.0,20.0,6.428571428571429,0.0045
360056,MERCY HEALTH - FAIRFIELD HOSPITAL,OH,17140.0,17140,2023-01-01,2023-12-31,938.08,50772.0,204.0,18.476325533758764,4.59843137254902
360066,ST. RITAS MEDICAL CENTER LLC,OH,30620.0,30620,2023-01-01,2023-12-31,1386.92,69270.0,329.0,20.021943121120255,4.215562310030395
360076,ATRIUM MEDICAL CENTER,OH,17140.0,17140,2023-01-01,2023-12-31,885.05,38248.0,244.0,23.139772014222967,3.6272540983606554
360084,AULTMAN HOSPITAL,OH,15940.0,15940,2023-01-01,2023-12-31,3103.96,92281.0,335.0,33.63595973168908,9.26555223880597
360131,ALLIANCE COMMUNITY HOSPITAL,OH,15940.0,15940,2023-01-01,2023-12-31,558.65,5547.0,50.0,100.71209662880837,11.173
360161,ST. JOSEPH HEALTH CENTER,OH,49660.0,49660,2023-01-01,2023-12-31,674.11,37322.0,137.0,18.062000964578534,4.920510948905109
360172,MERCY REGIONAL MEDICAL CENTER,OH,17460.0,17460,2023-01-01,2023-12-31,805.66,31769.0,149.0,25.35994208190374,5.4071140939597315
360174,UPPER VALLEY MEDICAL CENTER,OH,19430.0,19430,2023-01-01,2023-12-31,626.07,22812.0,139.0,27.44476591267754,4.504100719424461
360203,SOUTHEASTERN OHIO REG MED CTR,OH,99936.0,99936,2023-01-01,2023-12-31,785.11,9103.0,86.0,86.24739097000989,9.129186046511627
360218,LICKING MEMORIAL HOSPITAL,OH,18140.0,18140,2023-01-01,2023-12-31,1572.0,30078.0,219.0,52.26411330540594,7.178082191780822
360234,MERCY HEALTH WEST HOSPITAL,OH,17140.0,17140,2023-01-01,2023-12-31,983.57,55433.0,205.0,17.74340194468999,4.797902439024391
360276,ST ELIZABETH BOARDMAN HEALTH CTR,OH,49660.0,49660,2023-01-01,2023-12-31,884.02,64129.0,210.0,13.785027054842582,4.209619047619047
361310,MERCY HEALTH-WILLARD HOSPITAL LLC,OH,99936.0,99936,2023-01-01,2023-12-31,103.1,1643.0,20.0,62.751065124771756,5.154999999999999
363039,UNIVERSITY HOSPITALS AVON REHABILITA,OH,17460.0,17460,2023-01-01,2023-12-31,87.0,9094.0,50.0,9.566747305915989,1.74
364056,ASSURANCE HEALTH CINCINNATI,OH,17140.0,17140,2023-01-01,2023-12-31,44.62,7658.0,28.0,5.826586576129537,1.5935714285714284
372012,INSPIRE SPECIALTY HOSPITAL - MW CITY,OK,36420.0,36420,2023-01-01,2023-12-31,43.74,6104.0,31.0,7.165792922673657,1.410967741935484
380038,PROVIDENCE WILLAMETTE FALLS MED CTR,OR,38900.0,38900,2023-01-01,2023-12-31,568.5,23979.0,101.0,23.70824471412486,5.628712871287129
380082,PROVIDENCE MILWAUKIE HOSPITAL,OR,38900.0,38900,2023-01-01,2023-12-31,459.43,12549.0,47.0,36.61088532950833,9.775106382978723
400137,DOCTORS CENTER HOSPITAL OH-DORADO,PR,41980.0,41980,2023-02-13,2023-09-30,127.26,9601.0,50.0,13.254869284449537,2.5452
410011,LANDMARK MEDICAL CENTER,RI,39300.0,39300,2023-01-01,2023-12-31,485.79,24148.0,113.0,20.117193970515157,4.2990265486725665
451990,THE LEAVES  INC.,TX,19124.0,19124,2023-01-01,2023-12-31,24.95,4254.0,20.0,5.865068171133052,1.2475
453092,SOUTH TEXAS REHABILITATION HOSPITAL,TX,15180.0,15180,2023-01-01,2023-12-31,119.53,10456.0,40.0,11.431713848508034,2.98825
454132,SAN ANTONIO BEHAVIORAL HEALTHCARE,TX,41700.0,41700,2023-01-01,2023-12-31,364.64,56165.0,198.0,6.492299474761862,1.8416161616161615
490092,SOUTHAMPTON MEMORIAL HOSPITAL,VA,47260.0,47260,2023-01-01,2023-12-31,165.93,2952.0,90.0,56.209349593495936,1.8436666666666668
500044,DEACONESS MEDICAL CENTER,WA,44060.0,44060,2023-01-01,2023-12-31,1353.71,57471.0,279.0,23.554662351446815,4.8520071684587815
500119,VALLEY HOSPITAL & MEDICAL CENTER,WA,44060.0,44060,2023-01-01,2023-12-31,593.71,20829.0,123.0,28.504008833837442,4.826910569105691
501326,PROVIDENCE MOUNT CARMEL HOSPITAL,WA,44060.0,44060,2023-01-01,2023-12-31,223.43,4124.0,25.0,54.177982541222114,8.9372
521307,ADVENTHEALTH DURAND,WI,99952.0,99952,2023-01-01,2023-12-31,76.13,464.0,25.0,164.07327586206895,3.0452
524042,MIRAMOUNT BEHAVIORAL HEALTH,WI,31540.0,31540,2023-01-01,2023-12-31,55.0,9903.0,72.0,5.553872563869535,0.7638888888888888
673032,ENCOMPASS HEALTH REHABILITATION HOSP,TX,12420.0,12420,2023-01-01,2023-12-31,211.72,24615.0,75.0,8.601259394678042,2.8229333333333333
673055,ACCEL REHABILITATION HOSPITAL PLANO,TX,19124.0,19124,2023-01-01,2023-12-31,65.3,7535.0,149.0,8.666224286662242,0.438255033557047
033038,SCOTTSDALE HRH,AZ,38060.0,38060,2023-01-01,2023-12-31,161.45,15743.0,50.0,10.255351584831352,3.2289999999999996
040154,BHMC-CONWAY,AR,30780.0,30780,2023-01-01,2023-12-31,481.99,16166.0,106.0,29.81504391933688,4.547075471698113
041312,BHMC-HEBER SPRINGS,AR,99904.0,99904,2023-01-01,2023-12-31,129.08,1301.0,25.0,99.21598770176789,5.163200000000001
042012,BAPTIST HEALTH EXTENDED CARE,AR,30780.0,30780,2023-01-01,2023-12-31,74.62,5988.0,36.0,12.461589846359386,2.072777777777778
050091,COMMUNITY HOSPITAL OF HUNTINGTON PAR,CA,31084.0,31084,2023-01-01,2023-12-31,292.57,14494.0,81.0,20.18559403891265,3.6119753086419752
050116,NORTHRIDGE MEDICAL CENTER - ROSCOE,CA,31084.0,31084,2023-01-01,2023-12-31,1535.67,66773.0,318.0,22.998367603672147,4.829150943396226
050180,JOHN MUIR MEDICAL CENTER - WC,CA,36084.0,36084,2023-01-01,2023-12-31,2142.81,103525.0,366.0,20.69847862835064,5.854672131147541
050290,PROVIDENCE ST JOHNS HEALTH CENTER,CA,31084.0,31084,2023-01-01,2023-12-31,1153.41,49790.0,229.0,23.1654950793332,5.036724890829695
050641,EAST LOS ANGELES DOCTORS HOSPITAL,CA,31084.0,31084,2023-01-01,2023-12-31,310.42,9358.0,102.0,33.17161786706561,3.0433333333333334
050708,FRESNO SURGICAL HOSPITAL,CA,23420.0,23420,2023-01-01,2023-12-31,295.11,1790.0,27.0,164.8659217877095,10.93
050771,COAST PLAZA HOSPITAL,CA,31084.0,31084,2023-01-01,2023-12-31,237.37,12386.0,117.0,19.164379137736155,2.028803418803419
050780,FOOTHILL REG MEDICAL CENTER,CA,11244.0,11244,2023-01-01,2023-12-31,269.0,15098.0,111.0,17.816929394621802,2.4234234234234235
052055,CENTRAL VALLEY SPECIALTY HOSPITAL,CA,33700.0,33700,2023-01-01,2023-12-31,297.82,30699.0,96.0,9.701293201732955,3.1022916666666664
054069,AURORA CHARTER OAK BHS,CA,31084.0,31084,2023-01-01,2023-12-31,348.08,48910.0,134.0,7.116745041913719,2.597611940298507
054074,ADVENTIST HEALTH VALLEJO,CA,46700.0,46700,2023-01-01,2023-12-31,141.62,18528.0,61.0,7.643566493955095,2.3216393442622953
054077,AURORA VISTA DEL MAR BHS,CA,37100.0,37100,2023-01-01,2023-12-31,121.96,12690.0,87.0,9.610717100078803,1.40183908045977
054155,BAKERSFIELD BEHAVIORAL HEALTHCARE HO,CA,12540.0,12540,2023-01-01,2023-12-31,210.75,22746.0,90.0,9.265365338960695,2.341666666666667
060076,STERLING REGIONAL MEDCENTER,CO,99906.0,99906,2023-01-01,2023-12-31,161.37,2656.0,25.0,60.75677710843374,6.4548000000000005
061302,FAMILY HEALTH WEST HOSPITAL,CO,24300.0,24300,2023-01-01,2023-12-31,343.64,5553.0,25.0,61.88366648658383,13.7456
100075,ST. JOSEPHS HOSPITAL,FL,45300.0,45300,2023-01-01,2023-12-31,2065.01,284655.0,1354.0,7.254430802199154,1.525118168389956
100109,ADVENTHEALTH SEBRING,FL,42700.0,42700,2023-01-01,2023-12-31,1495.55,55073.0,204.0,27.155775062190184,7.331127450980392
100319,ADVENTHEALTH WESLEY CHAPEL,FL,45300.0,45300,2023-01-01,2023-12-31,1353.58,43605.0,169.0,31.04185299850934,8.009349112426035
102026,ADVENTHEALTH CONNERTON,FL,45300.0,45300,2023-01-01,2023-12-31,298.0,25328.0,77.0,11.765634870499051,3.8701298701298703
140200,ELMHURST MEMORIAL HOSPITAL,IL,16974.0,16974,2023-01-01,2023-12-31,2000.34,81323.0,258.0,24.597469350614215,7.753255813953488
150002,METHODIST HOSPITALS  INC,IN,23844.0,23844,2023-01-01,2023-12-31,1844.95,75199.0,405.0,24.534235827604093,4.555432098765432
150158,IU HEALTH WEST HOSPITAL,IN,26900.0,26900,2023-01-01,2023-12-31,969.92,42418.0,173.0,22.865764533924278,5.606473988439306
150161,IU HEALTH NORTH HOSPITAL,IN,26900.0,26900,2023-01-01,2023-12-31,903.48,37369.0,153.0,24.177259225561293,5.905098039215686
150179,FAIRBANKS,IN,26900.0,26900,2023-01-01,2023-12-31,163.5,7409.0,52.0,22.067755432581997,3.144230769230769
151317,GREENE COUNTY GENERAL HOSPITAL,IN,99915.0,99915,2023-01-01,2023-12-31,332.26,2121.0,25.0,156.65252239509664,13.2904
151324,FRANCISCAN HEALTH RENSSELAER,IN,23844.0,23844,2023-01-01,2023-12-31,118.01,1321.0,25.0,89.33383800151401,4.720400000000001
151329,MARGARET MARY COMMUNITY HOSPITAL,IN,99915.0,99915,2023-01-01,2023-12-31,495.26,4622.0,25.0,107.15274772825617,19.8104
153042,LAFAYETTE REGIONAL REHABILITATION HO,IN,29200.0,29200,2023-01-01,2023-12-31,100.46,9432.0,40.0,10.6509754028838,2.5115
153049,BLOOMINGTON REGIONAL REHABILITATION,IN,14020.0,14020,2023-01-01,2023-12-31,96.96,9813.0,40.0,9.880770406603483,2.424
