AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,OCC_CODE,TOT_EMP,JOBS_1000,A_MEAN,H_MEAN,EMP_PRSE,LOC_QUOTIENT
39540,"Racine-Mount Pleasant, WI",4,WI,29-1141,1230,16.005,88330,42.46,5.0,0.75
39580,"Raleigh-Cary, NC",4,NC,29-1141,12820,17.711,89820,43.18,1.8,0.83
39660,"Rapid City, SD",4,SD,29-1141,2600,36.194,73640,35.41,2.0,1.7
39740,"Reading, PA",4,PA,29-1141,3360,19.581,95510,45.92,1.9,0.92
39820,"Redding, CA",4,CA,29-1141,1620,23.207,130320,62.66,1.9,1.09
39900,"Reno, NV",4,NV,29-1141,4860,17.792,103160,49.6,2.6,0.84
40060,"Richmond, VA",4,VA,29-1141,15440,23.648,90530,43.52,1.9,1.11
40140,"Riverside-San Bernardino-Ontario, CA",4,CA,29-1141,34570,20.39,135680,65.23,1.7,0.96
40220,"Roanoke, VA",4,VA,29-1141,5970,39.24,84460,40.61,1.2,1.84
40340,"Rochester, MN",4,MN,29-1141,5510,45.306,104650,50.31,0.4,2.13
40380,"Rochester, NY",4,NY,29-1141,12510,25.491,93290,44.85,1.2,1.2
40420,"Rockford, IL",4,IL,29-1141,4340,31.145,84240,40.5,1.7,1.46
40580,"Rocky Mount, NC",4,NC,29-1141,1120,20.508,81400,39.14,2.5,0.96
40660,"Rome, GA",4,GA,29-1141,1630,36.893,86320,41.5,2.6,1.73
40900,"Sacramento-Roseville-Folsom, CA",4,CA,29-1141,23400,21.946,163020,78.37,1.9,1.03
40980,"Saginaw, MI",4,MI,29-1141,2690,33.744,92610,44.53,1.4,1.59
41060,"St. Cloud, MN",4,MN,29-1141,2940,28.424,98650,47.43,1.5,1.34
41100,"St. George, UT",4,UT,29-1141,1810,20.88,85130,40.93,2.0,0.98
41140,"St. Joseph, MO-KS",4,MO,29-1141,1280,23.784,78160,37.58,3.4,1.12
41180,"St. Louis, MO-IL",4,MO,29-1141,33660,25.126,84750,40.74,1.3,1.18
41420,"Salem, OR",4,OR,29-1141,4000,21.443,122100,58.7,2.4,1.01
41500,"Salinas, CA",4,CA,29-1141,3060,16.445,143410,68.95,1.7,0.77
41540,"Salisbury, MD",4,MD,29-1141,1650,30.736,89520,43.04,1.4,1.44
41620,"Salt Lake City-Murray, UT",4,UT,29-1141,13680,16.753,91550,44.02,2.3,0.79
41660,"San Angelo, TX",4,TX,29-1141,1430,28.445,79670,38.3,2.4,1.34
41700,"San Antonio-New Braunfels, TX",4,TX,29-1141,23390,20.989,89300,42.93,1.7,0.99
41740,"San Diego-Chula Vista-Carlsbad, CA",4,CA,29-1141,27660,18.039,139350,67.0,1.2,0.85
41780,"Sandusky, OH",4,OH,29-1141,920,18.592,78840,37.9,1.7,0.87
41860,"San Francisco-Oakland-Fremont, CA",4,CA,29-1141,40750,16.939,178450,85.79,1.7,0.8
41940,"San Jose-Sunnyvale-Santa Clara, CA",4,CA,29-1141,21460,18.911,189880,91.29,0.6,0.89
41980,"San Juan-Bayamon-Caguas, PR",4,PR,29-1141,15820,22.878,43160,20.75,1.8,1.07
42020,"San Luis Obispo-Paso Robles, CA",4,CA,29-1141,1950,16.105,144320,69.39,2.1,0.76
42100,"Santa Cruz-Watsonville, CA",4,CA,29-1141,1610,16.32,159540,76.7,3.8,0.77
42140,"Santa Fe, NM",4,NM,29-1141,820,13.358,95270,45.8,5.2,0.63
42200,"Santa Maria-Santa Barbara, CA",4,CA,29-1141,3140,15.546,131890,63.41,1.5,0.73
42220,"Santa Rosa-Petaluma, CA",4,CA,29-1141,3770,18.407,171490,82.45,1.3,0.86
42340,"Savannah, GA",4,GA,29-1141,4900,25.136,87160,41.9,2.1,1.18
42540,"Scranton--Wilkes-Barre, PA",4,PA,29-1141,5430,21.379,84730,40.74,2.1,1.0
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,29-1141,37250,17.889,120260,57.82,1.8,0.84
42680,"Sebastian-Vero Beach-West Vero Corridor, FL",4,FL,29-1141,1780,31.079,86280,41.48,1.7,1.46
42700,"Sebring, FL",4,FL,29-1141,860,30.875,86170,41.43,2.5,1.45
43100,"Sheboygan, WI",4,WI,29-1141,910,15.063,87680,42.15,3.3,0.71
43300,"Sherman-Denison, TX",4,TX,29-1141,1570,30.246,83900,40.34,2.0,1.42
43340,"Shreveport-Bossier City, LA",4,LA,29-1141,5650,35.327,92790,44.61,1.2,1.66
43420,"Sierra Vista-Douglas, AZ",4,AZ,29-1141,500,14.665,87350,42.0,2.1,0.69
43580,"Sioux City, IA-NE-SD",4,IA,29-1141,1520,20.205,73180,35.19,2.3,0.95
43620,"Sioux Falls, SD-MN",4,SD,29-1141,7480,42.789,71060,34.16,1.4,2.01
43640,"Slidell-Mandeville-Covington, LA",4,LA,29-1141,2850,28.3,82250,39.54,2.0,1.33
43780,"South Bend-Mishawaka, IN-MI",4,IN,29-1141,3420,26.084,95030,45.69,1.5,1.23
43900,"Spartanburg, SC",4,SC,29-1141,4660,28.412,81380,39.12,1.2,1.33
44060,"Spokane-Spokane Valley, WA",4,WA,29-1141,6480,25.358,108300,52.07,1.7,1.19
44100,"Springfield, IL",4,IL,29-1141,4210,40.957,86430,41.55,1.0,1.92
44140,"Springfield, MA",4,MA,29-1141,5730,28.816,94080,45.23,1.9,1.35
44180,"Springfield, MO",4,MO,29-1141,7450,33.556,72290,34.75,1.1,1.58
44220,"Springfield, OH",4,OH,29-1141,1130,23.937,81200,39.04,2.4,1.12
44300,"State College, PA",4,PA,29-1141,1270,18.416,83140,39.97,2.0,0.87
44420,"Staunton-Stuarts Draft, VA",4,VA,29-1141,1430,28.386,86950,41.8,1.4,1.33
44700,"Stockton-Lodi, CA",4,CA,29-1141,5100,17.797,139940,67.28,2.4,0.84
44940,"Sumter, SC",4,SC,29-1141,700,19.919,82780,39.8,3.4,0.94
45060,"Syracuse, NY",4,NY,29-1141,7520,25.479,88180,42.39,1.8,1.2
45220,"Tallahassee, FL",4,FL,29-1141,3830,20.807,79030,38.0,1.9,0.98
45300,"Tampa-St. Petersburg-Clearwater, FL",4,FL,29-1141,35050,24.302,90260,43.4,1.5,1.14
45460,"Terre Haute, IN",4,IN,29-1141,1450,22.459,79940,38.43,2.1,1.06
45500,"Texarkana, TX-AR",4,TX,29-1141,1550,27.071,77010,37.02,2.1,1.27
45780,"Toledo, OH",4,OH,29-1141,8010,27.451,83460,40.13,1.5,1.29
45820,"Topeka, KS",4,KS,29-1141,3170,28.171,84760,40.75,1.8,1.32
45900,"Traverse City, MI",4,MI,29-1141,1990,29.54,87550,42.09,2.5,1.39
45940,"Trenton-Princeton, NJ",4,NJ,29-1141,5330,22.277,101570,48.83,2.6,1.05
46060,"Tucson, AZ",4,AZ,29-1141,9390,24.341,91890,44.18,1.8,1.14
46140,"Tulsa, OK",4,OK,29-1141,9600,21.171,89850,43.2,2.4,0.99
46220,"Tuscaloosa, AL",4,AL,29-1141,2460,22.665,74440,35.79,1.9,1.06
46300,"Twin Falls, ID",4,ID,29-1141,880,17.677,87230,41.94,2.9,0.83
46340,"Tyler, TX",4,TX,29-1141,4160,36.902,77790,37.4,1.5,1.73
46520,"Urban Honolulu, HI",4,HI,29-1141,9930,22.398,125160,60.17,2.6,1.05
46540,"Utica-Rome, NY",4,NY,29-1141,2430,20.723,89170,42.87,2.4,0.97
46660,"Valdosta, GA",4,GA,29-1141,1060,19.489,74430,35.78,3.0,0.92
46700,"Vallejo, CA",4,CA,29-1141,4410,30.884,175620,84.44,0.7,1.45
47020,"Victoria, TX",4,TX,29-1141,1060,27.569,84930,40.83,1.8,1.3
47220,"Vineland, NJ",4,NJ,29-1141,1660,27.068,98500,47.36,2.6,1.27
47260,"Virginia Beach-Chesapeake-Norfolk, VA-NC",4,VA,29-1141,16270,21.558,87630,42.13,2.4,1.01
47300,"Visalia, CA",4,CA,29-1141,2740,16.114,119410,57.41,2.6,0.76
47380,"Waco, TX",4,TX,29-1141,2520,19.36,87580,42.11,2.0,0.91
47460,"Walla Walla, WA",4,WA,29-1141,790,30.71,110770,53.26,1.6,1.44
47580,"Warner Robins, GA",4,GA,29-1141,920,12.097,85100,40.91,2.6,0.57
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",4,DC,29-1141,43640,13.993,102510,49.29,1.6,0.66
47930,"Waterbury-Shelton, CT",4,CT,29-1141,3100,19.557,103640,49.83,2.4,0.92
47940,"Waterloo-Cedar Falls, IA",4,IA,29-1141,1960,22.934,72440,34.83,2.2,1.08
48060,"Watertown-Fort Drum, NY",4,NY,29-1141,840,21.509,95210,45.77,4.7,1.01
48140,"Wausau, WI",4,WI,29-1141,1570,22.502,84030,40.4,2.2,1.06
48260,"Weirton-Steubenville, WV-OH",4,WV,29-1141,1250,33.936,75340,36.22,2.1,1.59
48300,"Wenatchee-East Wenatchee, WA",4,WA,29-1141,1340,25.923,108390,52.11,0.9,1.22
48540,"Wheeling, WV-OH",4,WV,29-1141,1460,24.797,77460,37.24,3.3,1.16
48620,"Wichita, KS",4,KS,29-1141,7290,23.749,74990,36.06,2.5,1.12
48660,"Wichita Falls, TX",4,TX,29-1141,1450,25.638,82910,39.86,4.1,1.2
48680,"Wildwood-The Villages, FL",4,FL,29-1141,940,23.713,90150,43.34,2.6,1.11
48700,"Williamsport, PA",4,PA,29-1141,1250,24.894,89630,43.09,2.6,1.17
48900,"Wilmington, NC",4,NC,29-1141,4400,23.549,81470,39.17,2.9,1.11
49020,"Winchester, VA-WV",4,VA,29-1141,1580,23.108,91830,44.15,1.4,1.09
49180,"Winston-Salem, NC",4,NC,29-1141,8950,32.726,87590,42.11,0.7,1.54
49340,"Worcester, MA",4,MA,29-1141,9730,27.636,109590,52.69,1.8,1.3
49420,"Yakima, WA",4,WA,29-1141,1480,15.016,107830,51.84,2.6,0.71
49620,"York-Hanover, PA",4,PA,29-1141,3700,20.225,89350,42.96,2.9,0.95
49660,"Youngstown-Warren, OH",4,OH,29-1141,4060,25.328,77840,37.42,2.1,1.19
49700,"Yuba City, CA",4,CA,29-1141,1070,21.107,146470,70.42,1.6,0.99
49740,"Yuma, AZ",4,AZ,29-1141,1710,24.801,84650,40.7,4.2,1.17
